trial_id,stim_id,param_id,sample_n_mean,sample_n_std
13,18,0,26.3,30.888764777402223
11,6,0,34.8,41.155162111466076
4,42,0,47.55,59.46381031217311
6,38,0,33.55,43.58111010397437
12,46,0,27.65,26.33443812916743
14,31,0,25.15,17.457542480935977
0,33,0,33.15,39.4064849058068
7,15,0,14.55,12.386218997443555
17,15,0,28.05,23.90656153047791
19,2,0,18.5,28.965496715920477
1,7,0,37.2,39.22485785422568
14,37,0,29.3,26.107268598691256
17,0,0,32.55,37.09372907705702
8,28,0,33.7,39.06014256044267
14,24,0,21.55,25.915804972418297
16,31,0,19.6,21.0172861185614
13,1,0,31.15,39.62757546005188
2,34,0,28.45,29.58924947021344
11,12,0,17.75,18.648761776307662
0,45,0,46.45,69.45007673066128
11,14,0,30.4,32.823932218973844
18,32,0,33.15,49.90335396385803
2,28,0,28.15,39.40782049022089
18,47,0,22.75,18.973319216870387
8,45,0,33.3,44.03359961139723
14,47,0,25.8,30.247400932276726
14,36,0,22.95,25.938134900282694
11,2,0,26.25,24.68085770069803
10,36,0,21.65,23.720466401733958
10,43,0,20.65,24.56629055390633
12,26,0,33.05,66.39631806532331
14,39,0,33.95,35.37390504163679
14,46,0,27.45,32.40609916601958
4,28,0,33.7,47.171690886087944
15,11,0,25.05,27.58618075089505
8,46,0,28.5,39.43749218033119
15,2,0,14.65,18.87430723719974
17,2,0,46.5,70.57843714247066
12,28,0,37.8,45.03986538261644
8,25,0,34.25,31.687412410342972
10,34,0,39.0,64.5877615912521
18,27,0,21.15,28.047469160617492
3,17,0,36.45,40.49623114367688
2,43,0,22.3,21.16128540519219
0,35,0,25.15,23.35599776457746
6,28,0,20.05,21.878792904257047
4,34,0,27.9,36.39100525071951
17,10,0,22.2,18.70716158953148
2,38,0,52.7,55.951200542126564
18,40,0,31.25,24.30480784146475
18,31,0,25.55,37.66538966939501
16,26,0,28.4,29.23300225862256
5,17,0,16.35,14.921813774330165
14,41,0,16.4,26.004857845774648
16,41,0,50.45,59.38587019609436
1,10,0,36.9,40.22031432262217
9,4,0,18.75,27.36858552582158
6,39,0,29.5,38.39476389739677
14,29,0,36.2,38.64902803979749
18,28,0,17.85,18.98274840064276
0,28,0,22.75,29.575727957406666
8,29,0,34.7,40.774217860129006
4,38,0,26.35,31.074232005583696
12,30,0,21.35,32.049755726140305
0,24,0,39.5,40.6558081563029
11,17,0,27.0,32.97846187086992
5,0,0,15.4,16.974904076932294
4,27,0,27.35,31.158803774079306
11,17,0,30.5,35.73219100033205
9,15,0,15.4,18.72628324602953
4,25,0,22.65,19.47001743572328
14,46,0,47.4,58.22497203452358
13,7,0,13.6,12.529544033372103
7,15,0,31.95,39.279665289601915
14,42,0,19.05,25.716009758411914
16,35,0,29.1,35.534860570846114
15,21,0,43.55,69.11277968501537
12,24,0,32.2,35.126238505979366
9,13,0,16.25,25.902397775617526
16,36,0,21.1,33.3843644461548
6,40,0,35.15,37.148740858452
6,34,0,30.9,36.10059046025352
16,36,0,32.65,23.99402337864029
10,45,0,28.35,31.243146616919294
11,3,0,30.8,37.30048680365277
4,36,0,25.9,39.40731965137014
14,25,0,23.9,29.941873513086723
7,20,0,29.55,22.661060968333462
7,11,0,27.35,27.961016094781524
11,1,0,29.55,50.53448535927041
3,6,0,25.6,38.26555411305248
7,3,0,23.25,24.51610641362552
0,46,0,31.65,47.81463660516735
10,26,0,20.95,23.83821566971382
8,41,0,35.05,42.78277444806127
12,39,0,16.8,19.01965742123271
7,17,0,25.2,30.455489523323433
8,45,0,18.0,17.23216087497597
5,7,0,27.75,34.634748295226345
18,25,0,21.6,32.67447096177043
11,23,0,23.05,34.54284143982429
2,41,0,24.9,37.67855735309576
11,23,0,37.0,51.429051793913644
11,3,0,20.95,33.10823557905034
5,6,0,36.5,37.40602259417311
3,19,0,29.3,35.101506940211046
